,label
GCA_014873095.1_ASM1487309v1_1293,True
GCA_014873095.1_ASM1487309v1_1442,True
GCA_014873095.1_ASM1487309v1_1925,False
GCA_014873095.1_ASM1487309v1_1927,True
GCA_014873095.1_ASM1487309v1_2120,True
GCA_014873095.1_ASM1487309v1_2145,True
GCA_014873095.1_ASM1487309v1_2156,True
GCA_014873095.1_ASM1487309v1_2410,True
GCA_014873095.1_ASM1487309v1_2412,True
GCA_014873095.1_ASM1487309v1_2478,True
GCA_014873095.1_ASM1487309v1_2533,True
GCA_014873095.1_ASM1487309v1_2570,True
GCA_014873095.1_ASM1487309v1_2745,True
GCA_014873095.1_ASM1487309v1_3078,True
GCA_014873095.1_ASM1487309v1_3291,True
GCA_014873095.1_ASM1487309v1_3638,True
GCA_014873095.1_ASM1487309v1_3644,True
GCA_014873095.1_ASM1487309v1_3871,True
GCA_014873095.1_ASM1487309v1_4117,True
GCA_014873095.1_ASM1487309v1_4196,False
GCA_014873095.1_ASM1487309v1_4376,True
GCA_014873095.1_ASM1487309v1_4448,True
GCA_014873095.1_ASM1487309v1_4508,True
GCA_014873095.1_ASM1487309v1_4753,True
GCA_014873095.1_ASM1487309v1_4780,True
GCA_014873095.1_ASM1487309v1_4799,True
GCA_014873095.1_ASM1487309v1_644,True
GCA_014873095.1_ASM1487309v1_80,True
GCA_014873095.1_ASM1487309v1_841,True
GCA_014873095.1_ASM1487309v1_861,True
GCA_014873095.1_ASM1487309v1_878,True
GCA_014873095.1_ASM1487309v1_881,True
GCA_014873095.1_ASM1487309v1_893,True
GCA_015099395.1_ASM1509939v1_1107,True
GCA_015099395.1_ASM1509939v1_133,True
GCA_015099395.1_ASM1509939v1_1486,False
GCA_015099395.1_ASM1509939v1_1530,True
GCA_015099395.1_ASM1509939v1_1975,True
GCA_015099395.1_ASM1509939v1_1976,True
GCA_015099395.1_ASM1509939v1_1987,True
GCA_015099395.1_ASM1509939v1_217,True
GCA_015099395.1_ASM1509939v1_2254,False
GCA_015099395.1_ASM1509939v1_2388,True
GCA_015099395.1_ASM1509939v1_2451,True
GCA_015099395.1_ASM1509939v1_276,True
GCA_015099395.1_ASM1509939v1_2807,True
GCA_015099395.1_ASM1509939v1_2840,False
GCA_015099395.1_ASM1509939v1_2926,True
GCA_015099395.1_ASM1509939v1_3036,True
GCA_015099395.1_ASM1509939v1_3141,True
GCA_015099395.1_ASM1509939v1_3150,True
GCA_015099395.1_ASM1509939v1_3906,True
GCA_015099395.1_ASM1509939v1_4171,False
GCA_015099395.1_ASM1509939v1_422,True
GCA_015099395.1_ASM1509939v1_4295,True
GCA_015099395.1_ASM1509939v1_4359,True
GCA_015099395.1_ASM1509939v1_441,True
GCA_015099395.1_ASM1509939v1_4508,True
GCA_015099395.1_ASM1509939v1_4677,True
GCA_015099395.1_ASM1509939v1_4880,True
GCA_015099395.1_ASM1509939v1_5363,True
GCA_015099395.1_ASM1509939v1_5364,True
GCA_015099395.1_ASM1509939v1_5399,True
GCA_015099395.1_ASM1509939v1_5457,True
GCA_015099395.1_ASM1509939v1_5477,True
GCA_015099395.1_ASM1509939v1_5579,True
GCA_015099395.1_ASM1509939v1_5601,False
GCA_015099395.1_ASM1509939v1_564,True
GCA_015099395.1_ASM1509939v1_5712,True
GCA_015099395.1_ASM1509939v1_5820,True
GCA_015099395.1_ASM1509939v1_5943,True
GCA_015099395.1_ASM1509939v1_597,True
GCA_015099395.1_ASM1509939v1_6119,True
GCA_015099395.1_ASM1509939v1_6504,False
GCA_015099395.1_ASM1509939v1_6864,True
GCA_015099395.1_ASM1509939v1_6925,True
GCA_015099395.1_ASM1509939v1_6929,True
GCA_015099395.1_ASM1509939v1_908,True
GCA_015200345.1_ASM1520034v1_1255,True
GCA_015200345.1_ASM1520034v1_133,True
GCA_015200345.1_ASM1520034v1_1945,True
GCA_015200345.1_ASM1520034v1_2180,True
GCA_015200345.1_ASM1520034v1_2336,True
GCA_015200345.1_ASM1520034v1_2465,True
GCA_015200345.1_ASM1520034v1_2561,True
GCA_015200345.1_ASM1520034v1_2585,True
GCA_015200345.1_ASM1520034v1_2676,True
GCA_015200345.1_ASM1520034v1_2677,True
GCA_015200345.1_ASM1520034v1_2946,True
GCA_015200345.1_ASM1520034v1_299,False
GCA_015200345.1_ASM1520034v1_3047,True
GCA_015200345.1_ASM1520034v1_307,True
GCA_015200345.1_ASM1520034v1_3104,True
GCA_015200345.1_ASM1520034v1_354,True
GCA_015200345.1_ASM1520034v1_426,True
GCA_015200345.1_ASM1520034v1_47,True
GCA_015200345.1_ASM1520034v1_545,True
GCA_015200345.1_ASM1520034v1_718,True
GCA_015200345.1_ASM1520034v1_727,True
GCA_015200345.1_ASM1520034v1_883,True
GCA_015200345.1_ASM1520034v1_964,False
GCA_015200565.1_ASM1520056v1_2314,True
GCA_015200565.1_ASM1520056v1_3022,True
GCA_015200565.1_ASM1520056v1_766,True
GCA_015698285.1_ASM1569828v1_109,True
GCA_015698285.1_ASM1569828v1_1145,True
GCA_015698285.1_ASM1569828v1_1272,True
GCA_015698285.1_ASM1569828v1_1351,True
GCA_015698285.1_ASM1569828v1_1561,True
GCA_015698285.1_ASM1569828v1_1775,True
GCA_015698285.1_ASM1569828v1_1846,True
GCA_015698285.1_ASM1569828v1_1847,True
GCA_015698285.1_ASM1569828v1_192,True
GCA_015698285.1_ASM1569828v1_1998,True
GCA_015698285.1_ASM1569828v1_2000,True
GCA_015698285.1_ASM1569828v1_2002,True
GCA_015698285.1_ASM1569828v1_209,True
GCA_015698285.1_ASM1569828v1_210,True
GCA_015698285.1_ASM1569828v1_2141,True
GCA_015698285.1_ASM1569828v1_2245,True
GCA_015698285.1_ASM1569828v1_2295,True
GCA_015698285.1_ASM1569828v1_2349,True
GCA_015698285.1_ASM1569828v1_2380,True
GCA_015698285.1_ASM1569828v1_2413,True
GCA_015698285.1_ASM1569828v1_2528,True
GCA_015698285.1_ASM1569828v1_2757,True
GCA_015698285.1_ASM1569828v1_2758,True
GCA_015698285.1_ASM1569828v1_2760,True
GCA_015698285.1_ASM1569828v1_2763,True
GCA_015698285.1_ASM1569828v1_2838,True
GCA_015698285.1_ASM1569828v1_2856,True
GCA_015698285.1_ASM1569828v1_3394,True
GCA_015698285.1_ASM1569828v1_611,True
GCA_015698285.1_ASM1569828v1_616,True
GCA_015698285.1_ASM1569828v1_736,True
GCA_015698285.1_ASM1569828v1_797,True
GCA_015698285.1_ASM1569828v1_83,True
GCA_015698285.1_ASM1569828v1_838,False
GCA_015698285.1_ASM1569828v1_923,True
GCA_015698285.1_ASM1569828v1_957,True
GCA_015709575.1_ASM1570957v1_1011,True
GCA_015709575.1_ASM1570957v1_1016,True
GCA_015709575.1_ASM1570957v1_1288,False
GCA_015709575.1_ASM1570957v1_1364,True
GCA_015709575.1_ASM1570957v1_1375,True
GCA_015709575.1_ASM1570957v1_139,True
GCA_015709575.1_ASM1570957v1_1466,True
GCA_015709575.1_ASM1570957v1_1516,True
GCA_015709575.1_ASM1570957v1_1603,True
GCA_015709575.1_ASM1570957v1_1650,True
GCA_015709575.1_ASM1570957v1_1953,True
GCA_015709575.1_ASM1570957v1_1969,True
GCA_015709575.1_ASM1570957v1_2232,True
GCA_015709575.1_ASM1570957v1_2233,True
GCA_015709575.1_ASM1570957v1_2313,True
GCA_015709575.1_ASM1570957v1_2479,True
GCA_015709575.1_ASM1570957v1_2570,True
GCA_015709575.1_ASM1570957v1_2651,True
GCA_015709575.1_ASM1570957v1_2765,True
GCA_015709575.1_ASM1570957v1_2783,False
GCA_015709575.1_ASM1570957v1_302,True
GCA_015709575.1_ASM1570957v1_304,True
GCA_015709575.1_ASM1570957v1_455,True
GCA_015709575.1_ASM1570957v1_488,True
GCA_015709575.1_ASM1570957v1_569,True
GCA_015709575.1_ASM1570957v1_582,True
GCA_015709575.1_ASM1570957v1_595,True
GCA_015709575.1_ASM1570957v1_597,True
GCA_015709575.1_ASM1570957v1_643,True
GCA_015709575.1_ASM1570957v1_649,True
GCA_015709575.1_ASM1570957v1_684,True
GCA_015709575.1_ASM1570957v1_867,True
GCA_015709575.1_ASM1570957v1_935,True
GCA_015709575.1_ASM1570957v1_965,True
GCA_015709575.1_ASM1570957v1_967,True
GCA_015709575.1_ASM1570957v1_969,True
GCA_015709575.1_ASM1570957v1_975,True
GCA_015709595.1_ASM1570959v1_1006,True
GCA_015709595.1_ASM1570959v1_1084,False
GCA_015709595.1_ASM1570959v1_1225,True
GCA_015709595.1_ASM1570959v1_1245,True
GCA_015709595.1_ASM1570959v1_1342,True
GCA_015709595.1_ASM1570959v1_1435,True
GCA_015709595.1_ASM1570959v1_1436,True
GCA_015709595.1_ASM1570959v1_1457,True
GCA_015709595.1_ASM1570959v1_1493,True
GCA_015709595.1_ASM1570959v1_1513,True
GCA_015709595.1_ASM1570959v1_1519,True
GCA_015709595.1_ASM1570959v1_158,False
GCA_015709595.1_ASM1570959v1_1580,True
GCA_015709595.1_ASM1570959v1_1620,True
GCA_015709595.1_ASM1570959v1_1874,True
GCA_015709595.1_ASM1570959v1_1900,True
GCA_015709595.1_ASM1570959v1_2217,True
GCA_015709595.1_ASM1570959v1_2258,True
GCA_015709595.1_ASM1570959v1_23,True
GCA_015709595.1_ASM1570959v1_2394,True
GCA_015709595.1_ASM1570959v1_2431,True
GCA_015709595.1_ASM1570959v1_2614,True
GCA_015709595.1_ASM1570959v1_2620,True
GCA_015709595.1_ASM1570959v1_2852,False
GCA_015709595.1_ASM1570959v1_2930,True
GCA_015709595.1_ASM1570959v1_2936,True
GCA_015709595.1_ASM1570959v1_3014,True
GCA_015709595.1_ASM1570959v1_543,True
GCA_015709595.1_ASM1570959v1_564,True
GCA_015709595.1_ASM1570959v1_808,False
GCA_015709675.1_ASM1570967v1_1571,True
GCA_015709675.1_ASM1570967v1_162,True
GCA_015709675.1_ASM1570967v1_1630,True
GCA_015709675.1_ASM1570967v1_1632,True
GCA_015709675.1_ASM1570967v1_164,True
GCA_015709675.1_ASM1570967v1_169,True
GCA_015709675.1_ASM1570967v1_1753,True
GCA_015709675.1_ASM1570967v1_1759,True
GCA_015709675.1_ASM1570967v1_1788,True
GCA_015709675.1_ASM1570967v1_1791,True
GCA_015709675.1_ASM1570967v1_2050,True
GCA_015709675.1_ASM1570967v1_2177,False
GCA_015709675.1_ASM1570967v1_2232,True
GCA_015709675.1_ASM1570967v1_2546,True
GCA_015709675.1_ASM1570967v1_259,True
GCA_015709675.1_ASM1570967v1_2650,True
GCA_015709675.1_ASM1570967v1_2861,True
GCA_015709675.1_ASM1570967v1_2876,True
GCA_015709675.1_ASM1570967v1_3210,True
GCA_015709675.1_ASM1570967v1_543,True
GCA_015709675.1_ASM1570967v1_604,True
GCA_015709675.1_ASM1570967v1_74,True
GCA_015709675.1_ASM1570967v1_747,True
GCA_015709675.1_ASM1570967v1_749,True
GCA_015709675.1_ASM1570967v1_785,True
GCA_015709675.1_ASM1570967v1_944,True
GCA_015709715.1_ASM1570971v1_1142,False
GCA_015709715.1_ASM1570971v1_1158,True
GCA_015709715.1_ASM1570971v1_1566,True
GCA_015709715.1_ASM1570971v1_1786,True
GCA_015709715.1_ASM1570971v1_1898,True
GCA_015709715.1_ASM1570971v1_1959,True
GCA_015709715.1_ASM1570971v1_2117,True
GCA_015709715.1_ASM1570971v1_2372,True
GCA_015709715.1_ASM1570971v1_2720,True
GCA_015709715.1_ASM1570971v1_2744,True
GCA_015709715.1_ASM1570971v1_2798,True
GCA_015709715.1_ASM1570971v1_3068,True
GCA_015709715.1_ASM1570971v1_3076,True
GCA_015709715.1_ASM1570971v1_3188,True
GCA_015709715.1_ASM1570971v1_3361,True
GCA_015709715.1_ASM1570971v1_3427,True
GCA_015709715.1_ASM1570971v1_383,True
GCA_015709715.1_ASM1570971v1_909,True
GCA_016350165.1_ASM1635016v1_1460,True
GCA_016350165.1_ASM1635016v1_1501,True
GCA_016350165.1_ASM1635016v1_1502,True
GCA_016350165.1_ASM1635016v1_199,True
GCA_016350165.1_ASM1635016v1_2270,True
GCA_016350165.1_ASM1635016v1_2811,True
GCA_016350165.1_ASM1635016v1_3139,True
GCA_016350165.1_ASM1635016v1_3340,True
GCA_016350165.1_ASM1635016v1_3497,True
GCA_016350165.1_ASM1635016v1_3555,True
GCA_016350165.1_ASM1635016v1_3601,True
GCA_016350165.1_ASM1635016v1_3604,True
GCA_016350165.1_ASM1635016v1_3626,False
GCA_016350165.1_ASM1635016v1_3688,True
GCA_016350165.1_ASM1635016v1_3918,False
GCA_016350165.1_ASM1635016v1_3991,True
GCA_016350165.1_ASM1635016v1_565,True
GCA_016350165.1_ASM1635016v1_733,True
GCA_016350165.1_ASM1635016v1_749,True
GCA_016350165.1_ASM1635016v1_826,False
GCA_016350165.1_ASM1635016v1_932,True
GCA_016350165.1_ASM1635016v1_960,False
GCA_016350165.1_ASM1635016v1_969,True
GCA_016699045.1_ASM1669904v1_1153,True
GCA_016699045.1_ASM1669904v1_1172,True
GCA_016699045.1_ASM1669904v1_1236,True
GCA_016699045.1_ASM1669904v1_1237,True
GCA_016699045.1_ASM1669904v1_1238,True
GCA_016699045.1_ASM1669904v1_1243,True
GCA_016699045.1_ASM1669904v1_1247,True
GCA_016699045.1_ASM1669904v1_125,True
GCA_016699045.1_ASM1669904v1_1250,True
GCA_016699045.1_ASM1669904v1_1251,True
GCA_016699045.1_ASM1669904v1_1252,True
GCA_016699045.1_ASM1669904v1_1255,True
GCA_016699045.1_ASM1669904v1_1257,True
GCA_016699045.1_ASM1669904v1_1258,True
GCA_016699045.1_ASM1669904v1_1259,True
GCA_016699045.1_ASM1669904v1_1260,True
GCA_016699045.1_ASM1669904v1_1261,True
GCA_016699045.1_ASM1669904v1_1262,True
GCA_016699045.1_ASM1669904v1_1263,True
GCA_016699045.1_ASM1669904v1_1264,True
GCA_016699045.1_ASM1669904v1_1265,True
GCA_016699045.1_ASM1669904v1_1266,True
GCA_016699045.1_ASM1669904v1_1267,True
GCA_016699045.1_ASM1669904v1_1268,True
GCA_016699045.1_ASM1669904v1_1269,True
GCA_016699045.1_ASM1669904v1_1270,True
GCA_016699045.1_ASM1669904v1_1271,True
GCA_016699045.1_ASM1669904v1_1274,True
GCA_016699045.1_ASM1669904v1_1275,True
GCA_016699045.1_ASM1669904v1_1277,True
GCA_016699045.1_ASM1669904v1_1278,True
GCA_016699045.1_ASM1669904v1_1279,True
GCA_016699045.1_ASM1669904v1_1280,True
GCA_016699045.1_ASM1669904v1_1282,True
GCA_016699045.1_ASM1669904v1_1283,True
GCA_016699045.1_ASM1669904v1_1287,True
GCA_016699045.1_ASM1669904v1_1288,True
GCA_016699045.1_ASM1669904v1_1289,True
GCA_016699045.1_ASM1669904v1_1290,True
GCA_016699045.1_ASM1669904v1_1293,True
GCA_016699045.1_ASM1669904v1_1294,True
GCA_016699045.1_ASM1669904v1_1295,True
GCA_016699045.1_ASM1669904v1_151,True
GCA_016699045.1_ASM1669904v1_152,True
GCA_016699045.1_ASM1669904v1_153,True
GCA_016699045.1_ASM1669904v1_329,True
GCA_016699045.1_ASM1669904v1_367,True
GCA_016699045.1_ASM1669904v1_401,True
GCA_016699045.1_ASM1669904v1_402,True
GCA_016699045.1_ASM1669904v1_405,False
GCA_016699045.1_ASM1669904v1_424,True
GCA_016699045.1_ASM1669904v1_426,True
GCA_016699045.1_ASM1669904v1_427,True
GCA_016699045.1_ASM1669904v1_428,True
GCA_016699045.1_ASM1669904v1_440,True
GCA_016699045.1_ASM1669904v1_530,True
GCA_016699045.1_ASM1669904v1_583,True
GCA_016699045.1_ASM1669904v1_607,True
GCA_016699045.1_ASM1669904v1_661,True
GCA_016699045.1_ASM1669904v1_664,True
GCA_016699045.1_ASM1669904v1_696,True
GCA_016699045.1_ASM1669904v1_770,True
GCA_016699045.1_ASM1669904v1_811,True
GCA_016699045.1_ASM1669904v1_923,True
GCA_016699045.1_ASM1669904v1_924,True
GCA_016699045.1_ASM1669904v1_940,True
GCA_016699045.1_ASM1669904v1_941,True
GCA_016699045.1_ASM1669904v1_942,True
GCA_016699045.1_ASM1669904v1_943,True
GCA_016699045.1_ASM1669904v1_944,True
GCA_016699045.1_ASM1669904v1_945,True
GCA_016699045.1_ASM1669904v1_95,True
GCA_016699045.1_ASM1669904v1_96,True
GCA_016699045.1_ASM1669904v1_97,True
GCA_016699045.1_ASM1669904v1_98,True
GCA_016699045.1_ASM1669904v1_99,True
GCA_016699105.1_ASM1669910v1_1010,True
GCA_016699105.1_ASM1669910v1_902,True
GCA_016699125.1_ASM1669912v1_914,True
GCA_016699185.1_ASM1669918v1_129,True
GCA_016699185.1_ASM1669918v1_302,True
GCA_016699185.1_ASM1669918v1_775,True
GCA_016699185.1_ASM1669918v1_812,False
GCA_016699225.1_ASM1669922v1_1005,True
GCA_016699285.1_ASM1669928v1_1837,True
GCA_016699285.1_ASM1669928v1_2461,True
GCA_016699285.1_ASM1669928v1_2612,True
GCA_016699285.1_ASM1669928v1_345,True
GCA_016699285.1_ASM1669928v1_427,True
GCA_016699285.1_ASM1669928v1_451,True
GCA_016699285.1_ASM1669928v1_670,True
GCA_016699445.1_ASM1669944v1_1560,True
GCA_016699445.1_ASM1669944v1_1942,True
GCA_016699445.1_ASM1669944v1_2184,True
GCA_016699445.1_ASM1669944v1_2289,True
GCA_016699445.1_ASM1669944v1_2389,True
GCA_016699445.1_ASM1669944v1_2662,True
GCA_016699445.1_ASM1669944v1_2715,True
GCA_016699445.1_ASM1669944v1_2758,True
GCA_016699445.1_ASM1669944v1_2836,True
GCA_016699445.1_ASM1669944v1_2848,True
GCA_016699445.1_ASM1669944v1_2861,True
GCA_016699445.1_ASM1669944v1_2960,True
GCA_016699445.1_ASM1669944v1_381,True
GCA_016699445.1_ASM1669944v1_672,True
GCA_016699445.1_ASM1669944v1_727,True
GCA_016699445.1_ASM1669944v1_74,True
GCA_016699595.1_ASM1669959v1_289,True
GCA_016699595.1_ASM1669959v1_334,True
GCA_016699595.1_ASM1669959v1_353,True
GCA_016699595.1_ASM1669959v1_394,True
GCA_016699595.1_ASM1669959v1_494,False
GCA_016699595.1_ASM1669959v1_524,True
GCA_016699595.1_ASM1669959v1_53,True
GCA_016699595.1_ASM1669959v1_56,True
GCA_016699595.1_ASM1669959v1_601,True
GCA_016699595.1_ASM1669959v1_697,True
GCA_016699655.1_ASM1669965v1_1027,True
GCA_016699655.1_ASM1669965v1_1165,True
GCA_016699655.1_ASM1669965v1_1692,True
GCA_016699655.1_ASM1669965v1_172,False
GCA_016699655.1_ASM1669965v1_1726,True
GCA_016699655.1_ASM1669965v1_1742,True
GCA_016699655.1_ASM1669965v1_1804,True
GCA_016699655.1_ASM1669965v1_1822,True
GCA_016699655.1_ASM1669965v1_1850,True
GCA_016699655.1_ASM1669965v1_1852,True
GCA_016699655.1_ASM1669965v1_1884,True
GCA_016699655.1_ASM1669965v1_1991,True
GCA_016699655.1_ASM1669965v1_2105,True
GCA_016699655.1_ASM1669965v1_2178,True
GCA_016699655.1_ASM1669965v1_2199,True
GCA_016699655.1_ASM1669965v1_2508,True
GCA_016699655.1_ASM1669965v1_2599,True
GCA_016699655.1_ASM1669965v1_2631,True
GCA_016699655.1_ASM1669965v1_2757,True
GCA_016699655.1_ASM1669965v1_2769,False
GCA_016699655.1_ASM1669965v1_2959,True
GCA_016699655.1_ASM1669965v1_2963,True
GCA_016699655.1_ASM1669965v1_2966,True
GCA_016699655.1_ASM1669965v1_2968,True
GCA_016699655.1_ASM1669965v1_3145,True
GCA_016699655.1_ASM1669965v1_3617,True
GCA_016699655.1_ASM1669965v1_3658,True
GCA_016699655.1_ASM1669965v1_3709,True
GCA_016699655.1_ASM1669965v1_3773,True
GCA_016699655.1_ASM1669965v1_3774,True
GCA_016699655.1_ASM1669965v1_3775,True
GCA_016699655.1_ASM1669965v1_3785,True
GCA_016699655.1_ASM1669965v1_3819,True
GCA_016699655.1_ASM1669965v1_3821,True
GCA_016699655.1_ASM1669965v1_3834,True
GCA_016699655.1_ASM1669965v1_3838,True
GCA_016699655.1_ASM1669965v1_3839,True
GCA_016699655.1_ASM1669965v1_3902,True
GCA_016699655.1_ASM1669965v1_392,True
GCA_016699655.1_ASM1669965v1_4026,True
GCA_016699655.1_ASM1669965v1_4061,True
GCA_016699655.1_ASM1669965v1_4068,False
GCA_016699655.1_ASM1669965v1_412,True
GCA_016699655.1_ASM1669965v1_4145,True
GCA_016699655.1_ASM1669965v1_44,True
GCA_016699655.1_ASM1669965v1_444,True
GCA_016699655.1_ASM1669965v1_4480,False
GCA_016699655.1_ASM1669965v1_4481,False
GCA_016699655.1_ASM1669965v1_4570,True
GCA_016699655.1_ASM1669965v1_467,True
GCA_016699655.1_ASM1669965v1_4685,True
GCA_016699655.1_ASM1669965v1_4695,True
GCA_016699655.1_ASM1669965v1_4708,False
GCA_016699655.1_ASM1669965v1_659,True
GCA_016699655.1_ASM1669965v1_695,True
GCA_016699655.1_ASM1669965v1_866,True
GCA_016699655.1_ASM1669965v1_870,True
GCA_016699835.1_ASM1669983v1_1059,True
GCA_016699835.1_ASM1669983v1_1238,False
GCA_016699835.1_ASM1669983v1_1439,True
GCA_016699835.1_ASM1669983v1_1563,True
GCA_016699835.1_ASM1669983v1_1566,True
GCA_016699835.1_ASM1669983v1_1762,True
GCA_016699835.1_ASM1669983v1_186,True
GCA_016699835.1_ASM1669983v1_1885,True
GCA_016699835.1_ASM1669983v1_1888,True
GCA_016699835.1_ASM1669983v1_208,False
GCA_016699835.1_ASM1669983v1_2177,False
GCA_016699835.1_ASM1669983v1_2204,True
GCA_016699835.1_ASM1669983v1_240,False
GCA_016699835.1_ASM1669983v1_2508,True
GCA_016699835.1_ASM1669983v1_2510,True
GCA_016699835.1_ASM1669983v1_2577,True
GCA_016699835.1_ASM1669983v1_2583,True
GCA_016699835.1_ASM1669983v1_2651,True
GCA_016699835.1_ASM1669983v1_426,True
GCA_016699835.1_ASM1669983v1_627,True
GCA_016699835.1_ASM1669983v1_675,True
GCA_016699835.1_ASM1669983v1_717,True
GCA_016699835.1_ASM1669983v1_877,True
GCA_016699995.1_ASM1669999v1_12,True
GCA_016699995.1_ASM1669999v1_530,True
GCA_016699995.1_ASM1669999v1_568,True
GCA_016700035.1_ASM1670003v1_166,True
GCA_016700035.1_ASM1670003v1_23,True
GCA_016700035.1_ASM1670003v1_283,True
GCA_016700155.1_ASM1670015v1_1055,True
GCA_016700155.1_ASM1670015v1_1135,True
GCA_016700155.1_ASM1670015v1_129,False
GCA_016700155.1_ASM1670015v1_1665,True
GCA_016700155.1_ASM1670015v1_2088,True
GCA_016700155.1_ASM1670015v1_2124,True
GCA_016700155.1_ASM1670015v1_222,True
GCA_016700155.1_ASM1670015v1_270,True
GCA_016700155.1_ASM1670015v1_2706,True
GCA_016700155.1_ASM1670015v1_2735,True
GCA_016700155.1_ASM1670015v1_2972,True
GCA_016700155.1_ASM1670015v1_3045,False
GCA_016700155.1_ASM1670015v1_317,True
GCA_016700155.1_ASM1670015v1_3386,True
GCA_016700155.1_ASM1670015v1_3391,True
GCA_016700155.1_ASM1670015v1_3394,True
GCA_016700155.1_ASM1670015v1_3419,True
GCA_016700155.1_ASM1670015v1_3447,True
GCA_016700155.1_ASM1670015v1_3586,True
GCA_016700155.1_ASM1670015v1_431,True
GCA_016700155.1_ASM1670015v1_630,True
GCA_016700155.1_ASM1670015v1_634,True
GCA_016700155.1_ASM1670015v1_777,True
GCA_016700155.1_ASM1670015v1_791,False
GCA_016700155.1_ASM1670015v1_95,True
GCA_016766615.1_ASM1676661v1_442,False
GCA_016766635.1_ASM1676663v1_291,True
GCA_016766655.1_ASM1676665v1_98,True
GCA_016766695.1_ASM1676669v1_413,True
GCA_016887485.1_ASM1688748v1_1067,True
GCA_016887485.1_ASM1688748v1_1150,True
GCA_016887485.1_ASM1688748v1_1171,True
GCA_016887485.1_ASM1688748v1_1362,True
GCA_016887485.1_ASM1688748v1_1667,True
GCA_016887485.1_ASM1688748v1_1865,True
GCA_016887485.1_ASM1688748v1_1886,True
GCA_016887485.1_ASM1688748v1_2399,True
GCA_016887485.1_ASM1688748v1_2414,True
GCA_016887485.1_ASM1688748v1_2415,True
GCA_016887485.1_ASM1688748v1_276,True
GCA_016887485.1_ASM1688748v1_356,True
GCA_016887485.1_ASM1688748v1_452,True
